McNeillID	RecapID	delT	SCL	delL	ChascoID	
1252	1	0	60.9	0	247
1252	2	359	61.7	0.8	247
1258	1	0	65.4	0	248
1258	2	17	65	-0.4	248
1263	1	0	52.7	0	249
1263	2	3	53	0.3	249
1264	1	0	57.7	0	250
1264	2	5	57.3	-0.4	250
1274	1	0	57.9	0	251
1274	2	10	57.9	0	251
1283	1	0	56.6	0	252
1283	2	17	56.6	0	252
1286	1	0	52.1	0	253
1286	2	23	52.2	0.1	253
1288	1	0	64.9	0	254
1288	2	17	65.3	0.4	254
1288	3	105	64.3	-1	254
1290	1	0	64.8	0	255
1290	2	4	65.2	0.4	255
1291	1	0	60.8	0	256
1291	2	15	60.8	7.11E-15	256
1294	1	0	70.5	0	257
1294	2	3	70	-0.5	257
1295	1	0	65.5	0	258
1295	2	6	65.9	0.4	258
1295	3	10	65.6	-0.3	258
1298	1	0	54.6	0	259
1298	2	376	56.8	2.2	259
1302	1	0	63.7	0	260
1302	2	3754	78.1	14.4	260
1306	1	0	64.7	0	261
1306	2	204	64.6	-0.1	261
1315	1	0	54.2	0	262
1315	2	270	57.5	3.3	262
1315	3	358	62.3	4.8	262
1324	1	0	55.4	0	263
1324	2	52	56.5	1.1	263
1324	3	11	56.7	0.2	263
1324	4	7	56.7	0	263
1324	5	3	56.5	-0.2	263
1324	6	361	59.1	2.6	263
1331	1	0	50.4	0	264
1331	2	130	51	0.6	264
1338	1	0	75.2	0	265
1338	2	730	78.9	3.7	265
1340	1	0	65.8	0	266
1340	2	14	66.3	0.5	266
1340	3	4	66	-0.3	266
1340	4	3	64.4	-1.6	266
1340	5	18	66.5	2.1	266
1340	6	7	66	-0.5	266
1340	7	21	66.6	0.6	266
1340	8	3	66.9	0.3	266
1340	9	298	67.6	0.7	266
1340	10	4	67.6	0	266
1340	11	350	70.4	2.8	266
1340	12	31	70.3	-0.1	266
1340	13	7	70.7	0.4	266
1344	1	0	44.4	0	267
1344	2	6	44.2	-0.2	267
1359	1	0	59.8	0	268
1359	2	11	60.1	0.3	268
1359	3	362	59.6	-0.5	268
1361	1	0	62.6	0	269
1361	2	570	69	6.4	269
1369	1	0	52.4	0	270
1369	2	7	52.5	0.1	270
1377	1	0	69.7	0	271
1377	2	43	71	1.3	271
1390	1	0	59.6	0	272
1390	2	217	60.1	0.5	272
1390	3	39	58.9	-1.2	272
1396	1	0	57	0	273
1396	2	8	57	0	273
1396	3	16	56.8	-0.2	273
1397	1	0	56.4	0	274
1397	2	47	56.7	0.3	274
1400	1	0	51.1	0	275
1400	2	10	52.9	1.8	275
1405	1	0	59.5	0	276
1405	2	6	59.4	-0.1	276
1407	1	0	81	0	277
1407	2	354	82.2	1.2	277
1407	3	88	83.2	1	277
1417	1	0	63.4	0	278
1417	2	49	63.8	0.4	278
1417	3	14	63.7	-0.1	278
1417	4	780	69.7	6	278
1421	1	0	51.5	0	279
1421	2	25	51.2	-0.3	279
1424	1	0	61.6	0	280
1424	2	134	63.9	2.3	280
1424	3	10	63.3	-0.6	280
1424	4	6	63.4	0.1	280
1424	5	4	63	-0.4	280
1426	1	0	65.6	0	281
1426	2	21	65.8	0.2	281
1431	1	0	65.3	0	282
1431	2	140	66.4	1.1	282
1433	1	0	65.4	0	283
1433	2	1175	70.2	4.8	283
1439	1	0	54.5	0	284
1439	2	17	54.8	0.3	284
1439	3	735	59.3	4.5	284
1439	4	3	59.4	0.1	284
1439	5	219	60.5	1.1	284
1439	6	14	60.9	0.4	284
1439	7	113	64.8	3.9	284
1439	8	4	64.4	-0.4	284
1440	1	0	68.1	0	285
1440	2	723	73.5	5.4	285
1450	1	0	71.6	0	286
1450	2	3	71.4	-0.2	286
1450	3	7	71.1	-0.3	286
1450	4	21	71.4	0.3	286
1452	1	0	61.5	0	287
1452	2	123	61.2	-0.3	287
1453	1	0	76.2	0	288
1453	2	830	78.9	2.7	288
1456	1	0	59	0	289
1456	2	10	58.9	-0.1	289
1459	1	0	72.5	0	290
1459	2	24	72.2	-0.3	290
1460	1	0	57.7	0	291
1460	2	311	59.3	1.6	291
1471	1	0	58	0	292
1471	2	101	58.7	0.7	292
1473	1	0	66.8	0	293
1473	2	386	66.9	0.1	293
1473	3	45	67	0.1	293
1473	4	926	70.4	3.4	293
1476	1	0	61	0	294
1476	2	308	61.5	0.5	294
1476	3	860	66.6	5.1	294
1481	1	0	63.8	0	295
1481	2	11	64	0.2	295
1481	3	84	64.6	0.6	295
1482	1	0	59	0	296
1482	2	4	58.9	-0.1	296
1482	3	3	59.4	0.5	296
1482	4	21	59.2	-0.2	296
1487	1	0	65.2	0	297
1487	2	7	65.4	0.2	297
1487	3	259	65.5	0.1	297
1487	4	4	65.6	0.1	297
1495	1	0	63.5	0	298
1495	2	367	63.8	0.3	298
1500	1	0	62.2	0	299
1500	2	333	62.4	0.2	299
1500	3	119	63.4	1	299
1500	4	316	63.8	0.4	299
1500	5	366	66	2.2	299
1500	6	9	66.6	0.6	299
1500	7	215	66.5	-0.1	299
1500	8	514	68.2	1.7	299
1500	9	12	67.6	-0.6	299
1504	1	0	56.9	0	300
1504	2	106	57.6	0.7	300
1504	3	247	56.5	-1.1	300
1513	1	0	57	0	301
1513	2	173	59.1	2.1	301
1515	1	0	54.8	0	302
1515	2	8	55.4	0.6	302
1517	1	0	59.8	0	303
1517	2	46	60.2	0.4	303
1517	3	277	60.2	0	303
1519	1	0	72.2	0	304
1519	2	28	72.6	0.4	304
1519	3	336	73.6	1	304
1520	1	0	56.7	0	305
1520	2	305	57.2	0.5	305
1520	3	147	58.8	1.6	305
1520	4	30	58.7	-0.1	305
1520	5	313	57.9	-0.8	305
1522	1	0	62.8	0	306
1522	2	126	63.1	0.3	306
1522	3	49	62.8	-0.3	306
1523	1	0	58.5	0	307
1523	2	322	59.2	0.7	307
1523	3	7	59.1	-0.1	307
1523	4	354	60.1	1	307
1529	1	0	63	0	308
1529	2	14	62.9	-0.1	308
1529	3	14	63	0.1	308
1530	1	0	61.4	0	309
1530	2	208	62.1	0.7	309
1533	1	0	59.5	0	310
1533	2	44	60.1	0.6	310
1534	1	0	64.7	0	311
1534	2	15	64.6	-0.1	311
1534	3	596	69	4.4	311
1534	4	26	68.6	-0.4	311
1542	1	0	59.9	0	312
1542	2	68	60.5	0.6	312
1571	1	0	54.7	0	313
1571	2	363	55.9	1.2	313
1578	1	0	69.6	0	314
1578	2	6	69.9	0.3	314
1586	1	0	70.4	0	315
1586	2	17	62.5	-7.9	315
1586	3	442	63.3	0.8	315
1589	1	0	68.9	0	316
1589	2	10	68.4	-0.5	316
1591	1	0	61.4	0	317
1591	2	20	62.6	1.2	317
1597	1	0	49.8	0	318
1597	2	11	49.7	-0.1	318
1597	3	3	50	0.3	318
1600	1	0	60.7	0	319
1600	2	288	63.6	2.9	319
1603	1	0	66.4	0	320
1603	2	1381	63	-3.4	320
1605	1	0	73.2	0	321
1605	2	72	72.6	-0.6	321
1605	3	25	72.9	0.3	321
1611	1	0	60.3	0	322
1611	2	14	60.7	0.4	322
1621	1	0	62.7	0	323
1621	2	365	62.5	-0.2	323
1630	1	0	64.9	0	324
1630	2	6	63.4	-1.5	324
1632	1	0	56.9	0	325
1632	2	239	57.5	0.6	325
1632	3	10	57.3	-0.2	325
1632	4	4	57.3	0	325
1632	5	31	57.8	0.5	325
